Time,accX,accY,accZ,DT,Hour
1573584488511.0,3.2575138,5.2745074999999995,7.851292599999999,2019-11-12 12:48:08.511000-06:00,2019-11-12 12:00
1573584488531.0,3.1209714,5.228993,7.949507700000001,2019-11-12 12:48:08.531000-06:00,2019-11-12 12:00
1573584488552.0,3.2119999999999997,5.224202,7.8393164,2019-11-12 12:48:08.552000-06:00,2019-11-12 12:00
1573584488572.0,3.274282,5.202643,7.805778500000001,2019-11-12 12:48:08.572000-06:00,2019-11-12 12:00
1573584488592.0,3.1616945,5.0397506,7.4680165999999994,2019-11-12 12:48:08.592000-06:00,2019-11-12 12:00
1573584488612.0,3.1257625,5.1643156999999995,7.405734,2019-11-12 12:48:08.612000-06:00,2019-11-12 12:00
1573584488632.0,2.9700563,5.2457614,7.4895762999999995,2019-11-12 12:48:08.632000-06:00,2019-11-12 12:00
1573584488653.0,2.948497,5.085264700000001,7.539880800000001,2019-11-12 12:48:08.653000-06:00,2019-11-12 12:00
1573584488672.0,3.1592991,5.322417,7.566231,2019-11-12 12:48:08.672000-06:00,2019-11-12 12:00
1573584488692.0,3.1880447999999997,5.3775129999999995,7.542276400000001,2019-11-12 12:48:08.692000-06:00,2019-11-12 12:00
1573584488712.0,3.1425307,5.341580400000001,7.537485,2019-11-12 12:48:08.712000-06:00,2019-11-12 12:00
1573584488733.0,3.3341691,5.3200216,7.3769884,2019-11-12 12:48:08.733000-06:00,2019-11-12 12:00
1573584488753.0,3.2215814999999997,5.3535580000000005,7.60935,2019-11-12 12:48:08.753000-06:00,2019-11-12 12:00
1573584488773.0,2.8359096,5.2170157,7.796197,2019-11-12 12:48:08.773000-06:00,2019-11-12 12:00
1573584488793.0,2.7975817000000003,5.152337999999999,7.7411012999999995,2019-11-12 12:48:08.793000-06:00,2019-11-12 12:00
1573584488813.0,2.8934011,5.1164055,7.796197,2019-11-12 12:48:08.813000-06:00,2019-11-12 12:00
1573584488833.0,2.9604745,5.1331739999999995,8.006999,2019-11-12 12:48:08.833000-06:00,2019-11-12 12:00
1573584488854.0,2.9053786,5.130778299999999,8.114796,2019-11-12 12:48:08.854000-06:00,2019-11-12 12:00
1573584488874.0,2.8023727000000003,5.147547,8.057304,2019-11-12 12:48:08.874000-06:00,2019-11-12 12:00
1573584488894.0,2.6298983,5.1643156999999995,8.006999,2019-11-12 12:48:08.894000-06:00,2019-11-12 12:00
1573584488914.0,2.5388702999999997,5.169106,7.923157700000001,2019-11-12 12:48:08.914000-06:00,2019-11-12 12:00
1573584488934.0,2.562825,5.183479,7.6620502,2019-11-12 12:48:08.934000-06:00,2019-11-12 12:00
1573584488954.0,2.5915709,5.135569599999999,7.506344,2019-11-12 12:48:08.954000-06:00,2019-11-12 12:00
1573584488974.0,2.7065537,5.183479,7.599767699999999,2019-11-12 12:48:08.974000-06:00,2019-11-12 12:00
1573584488994.0,2.7664409,5.1547336999999995,7.630909,2019-11-12 12:48:08.994000-06:00,2019-11-12 12:00
1573584489015.0,2.7448813999999997,5.130778299999999,7.690796000000001,2019-11-12 12:48:09.015000-06:00,2019-11-12 12:00
1573584489035.0,2.934124,5.272112,7.508739500000001,2019-11-12 12:48:09.035000-06:00,2019-11-12 12:00
1573584489054.0,3.1473217,5.331999,7.367407000000001,2019-11-12 12:48:09.054000-06:00,2019-11-12 12:00
1573584489075.0,3.0826437,5.375117299999999,7.4799940000000005,2019-11-12 12:48:09.075000-06:00,2019-11-12 12:00
1573584489095.0,3.123367,5.4709363,7.3841753,2019-11-12 12:48:09.095000-06:00,2019-11-12 12:00
1573584489115.0,3.2479317,5.552383,7.223677599999999,2019-11-12 12:48:09.115000-06:00,2019-11-12 12:00
1573584489135.0,3.2215814999999997,5.545196499999999,7.156605,2019-11-12 12:48:09.135000-06:00,2019-11-12 12:00
1573584489156.0,3.2383502,5.528428,7.1590004,2019-11-12 12:48:09.156000-06:00,2019-11-12 12:00
1573584489175.0,3.1928357999999997,5.523637,7.178163499999999,2019-11-12 12:48:09.175000-06:00,2019-11-12 12:00
1573584489195.0,3.1065986,5.5068684,7.221282,2019-11-12 12:48:09.195000-06:00,2019-11-12 12:00
1573584489215.0,3.118576,5.5020776,7.2284690000000005,2019-11-12 12:48:09.215000-06:00,2019-11-12 12:00
1573584489236.0,3.1952312000000003,5.561964499999999,7.0727625,2019-11-12 12:48:09.236000-06:00,2019-11-12 12:00
1573584489256.0,3.2958415,5.6314335,7.137440700000001,2019-11-12 12:48:09.256000-06:00,2019-11-12 12:00
1573584489276.0,3.3581237999999995,5.724857,7.1733723,2019-11-12 12:48:09.276000-06:00,2019-11-12 12:00
1573584489296.0,3.4563386,5.770371400000001,7.2093050000000005,2019-11-12 12:48:09.296000-06:00,2019-11-12 12:00
1573584489316.0,3.4491519999999998,5.8063035,7.3578243,2019-11-12 12:48:09.316000-06:00,2019-11-12 12:00
1573584489336.0,3.4563386,5.8757725,7.4105253,2019-11-12 12:48:09.336000-06:00,2019-11-12 12:00
1573584489356.0,3.659954,6.043456,7.321892699999999,2019-11-12 12:48:09.356000-06:00,2019-11-12 12:00
1573584489377.0,4.014485,6.2326984,6.967361500000001,2019-11-12 12:48:09.377000-06:00,2019-11-12 12:00
1573584489397.0,4.036044,6.11532,6.8068643,2019-11-12 12:48:09.397000-06:00,2019-11-12 12:00
1573584489412.0,3.8539882000000003,5.873377,6.699068,2019-11-12 12:48:09.412000-06:00,2019-11-12 12:00
1573584489437.0,3.5785080000000002,5.748812,6.514616,2019-11-12 12:48:09.437000-06:00,2019-11-12 12:00
1573584489457.0,3.2335591,5.5404053,6.2175769999999995,2019-11-12 12:48:09.457000-06:00,2019-11-12 12:00
1573584489477.0,3.0874348,5.4948916,6.1265483,2019-11-12 12:48:09.477000-06:00,2019-11-12 12:00
1573584489497.0,3.0275478,5.454168,6.3110003,2019-11-12 12:48:09.497000-06:00,2019-11-12 12:00
1573584489517.0,2.958079,5.3631400000000005,6.574503,2019-11-12 12:48:09.517000-06:00,2019-11-12 12:00
1573584489538.0,2.9077737,5.3607445,6.742186500000001,2019-11-12 12:48:09.538000-06:00,2019-11-12 12:00
1573584489558.0,2.9748473,5.458958999999999,6.660740400000001,2019-11-12 12:48:09.558000-06:00,2019-11-12 12:00
1573584489578.0,3.0059886000000002,5.46375,6.6918817,2019-11-12 12:48:09.578000-06:00,2019-11-12 12:00
1573584489598.0,2.943706,5.4086537,7.118276600000001,2019-11-12 12:48:09.598000-06:00,2019-11-12 12:00
1573584489618.0,3.0299432,5.5164504,7.432084,2019-11-12 12:48:09.618000-06:00,2019-11-12 12:00
1573584489638.0,3.343751,5.6410155,7.518322,2019-11-12 12:48:09.638000-06:00,2019-11-12 12:00
1573584489658.0,3.6216266000000004,5.734439,7.427294,2019-11-12 12:48:09.658000-06:00,2019-11-12 12:00
1573584489678.0,3.5617394,5.688925,7.398547,2019-11-12 12:48:09.678000-06:00,2019-11-12 12:00
1573584489699.0,3.408429,5.652993,7.434479700000001,2019-11-12 12:48:09.699000-06:00,2019-11-12 12:00
1573584489719.0,3.4419656,5.8853545,7.314706,2019-11-12 12:48:09.719000-06:00,2019-11-12 12:00
1573584489739.0,4.004903,6.7620993,6.773328,2019-11-12 12:48:09.739000-06:00,2019-11-12 12:00
1573584489759.0,5.358348400000001,8.240110000000001,5.944492299999999,2019-11-12 12:48:09.759000-06:00,2019-11-12 12:00
1573584489779.0,6.8986410000000005,9.004267,4.5646963,2019-11-12 12:48:09.779000-06:00,2019-11-12 12:00
