Time,rotX,rotY,rotZ,DT,Hour
1573584491543.0,0.82605696,4.6135782999999995,-0.53605634,2019-11-12 12:48:11.543000-06:00,2019-11-12 12:00
1573584491593.0,-0.16208641,1.7179354,0.022130355,2019-11-12 12:48:11.593000-06:00,2019-11-12 12:00
1573584491643.0,-0.5375941,-0.40675882,0.23716111,2019-11-12 12:48:11.643000-06:00,2019-11-12 12:00
1573584491693.0,-0.8536773999999999,0.17875639,0.32171497,2019-11-12 12:48:11.693000-06:00,2019-11-12 12:00
1573584491743.0,-0.57535326,0.17247316,0.41157678,2019-11-12 12:48:11.743000-06:00,2019-11-12 12:00
1573584491793.0,-0.42284048,0.21782596,0.39983820000000003,2019-11-12 12:48:11.793000-06:00,2019-11-12 12:00
1573584491843.0,-0.9773499,0.19072877,0.054579987999999996,2019-11-12 12:48:11.843000-06:00,2019-11-12 12:00
1573584491893.0,-0.29156214,0.19930741,0.10682489,2019-11-12 12:48:11.893000-06:00,2019-11-12 12:00
1573584491943.0,-0.5841185999999999,0.5421378000000001,0.48680517,2019-11-12 12:48:11.943000-06:00,2019-11-12 12:00
1573584491993.0,-0.46143985,0.33440796,1.0359594,2019-11-12 12:48:11.993000-06:00,2019-11-12 12:00
1573584492043.0,-0.33113584,0.41831368,0.7644339,2019-11-12 12:48:12.043000-06:00,2019-11-12 12:00
1573584492093.0,0.43527964,0.2748265,0.70140934,2019-11-12 12:48:12.093000-06:00,2019-11-12 12:00
1573584492142.0,0.491277,-0.46083959999999996,0.42186108,2019-11-12 12:48:12.142000-06:00,2019-11-12 12:00
1573584492192.0,0.28065264,-0.34047866,0.16849153,2019-11-12 12:48:12.192000-06:00,2019-11-12 12:00
1573584492243.0,0.32229424,0.02034969,0.544773,2019-11-12 12:48:12.243000-06:00,2019-11-12 12:00
1573584492292.0,0.18722673,0.034555364,0.45751747,2019-11-12 12:48:12.292000-06:00,2019-11-12 12:00
1573584492343.0,-0.30830243,0.21884793,0.22690488,2019-11-12 12:48:12.343000-06:00,2019-11-12 12:00
1573584492393.0,-0.28736649999999997,0.18558732,0.15380181,2019-11-12 12:48:12.393000-06:00,2019-11-12 12:00
